X,Boron,Phosphorus
um,cm^-3,cm^-3
0.26171875,1.34E+15,2.60E+13
0.265625,1.34E+15,2.26E+13
0.26953125,1.34E+15,1.97E+13
0.2734375,1.34E+15,1.71E+13
0.27734375,1.34E+15,1.49E+13
0.28125,1.34E+15,1.29E+13
0.28515625,1.34E+15,1.12E+13
0.2890625,1.34E+15,9.73E+12
0.29296875,1.34E+15,8.46E+12
0.296875,1.34E+15,7.35E+12
0.30078125,1.34E+15,6.39E+12
0.3046875,1.34E+15,5.55E+12
0.30859375,1.34E+15,4.83E+12
0.3125,1.34E+15,4.20E+12
0.31640625,1.34E+15,3.66E+12
0.3203125,1.34E+15,3.18E+12
0.32421875,1.34E+15,2.77E+12
0.328125,1.34E+15,2.41E+12
0.33203125,1.34E+15,2.10E+12
0.3359375,1.34E+15,1.83E+12
0.33984375,1.34E+15,1.59E+12
0.34375,1.34E+15,1.39E+12
0.34765625,1.34E+15,1.22E+12
0.3515625,1.34E+15,1.05E+12
0.359375,1.34E+15,8.02E+11
0.3671875,1.34E+15,6.12E+11
0.375,1.34E+15,4.70E+11
0.390625,1.34E+15,2.98E+11
0.40625,1.34E+15,1.72E+11
0.4375,1.34E+15,6.16E+10
0.5,1.34E+15,1.63E+10
0.625,1.34E+15,1.05E+10
0.75,1.34E+15,1.01E+10
1,1.34E+15,1.01E+10
1.5,1.34E+15,1.01E+10
2,1.34E+15,1.01E+10
2.5,1.34E+15,1.01E+10
3,1.34E+15,1.01E+10
3.5,1.34E+15,1.01E+10
4,1.34E+15,1.01E+10
4.5,1.34E+15,1.01E+10
5,1.34E+15,1.01E+10
5.5,1.34E+15,1.01E+10
6,1.34E+15,1.01E+10
6.5,1.34E+15,1.01E+10
7,1.34E+15,1.01E+10
7.5,1.34E+15,1.01E+10
8,1.34E+15,1.01E+10
8.5,1.34E+15,1.01E+10
9,1.34E+15,1.01E+10
9.5,1.34E+15,1.01E+10
10,1.34E+15,1.01E+10
